scene_id,n,method,selected_index,selected_mode,proxy_score,repair_score,true_iou,hidden_iou,hidden_error,exploitation_gap,candidate_diversity,top_proxy_diversity,occupancy_fraction,surface_fraction,visible_occupancy_fraction,consensus_score,volume_plausibility
0,1,naive,0,drift,0.3336159421323708,0.5042101447476357,0.03322259136212625,0.03389830508474576,0.9661016949152542,0.30039335077024454,0.0,0.0,0.036,0.9305555555555556,0.4722222222222222,1.0,0.692634386261488
0,1,repaired,0,drift,0.3336159421323708,0.5042101447476357,0.03322259136212625,0.03389830508474576,0.9661016949152542,0.30039335077024454,0.0,0.0,0.036,0.9305555555555556,0.4722222222222222,1.0,0.692634386261488
0,2,naive,1,view_impostor,1.0,0.6378172451838909,0.40119760479041916,0.009900990099009901,0.9900990099009901,0.5988023952095809,0.9707317073170731,0.9707317073170731,0.01675,1.0,0.9850746268656716,0.32682926829268294,0.40715155793121205
0,2,repaired,1,view_impostor,1.0,0.6378172451838909,0.40119760479041916,0.009900990099009901,0.9900990099009901,0.5988023952095809,0.9707317073170731,0.9707317073170731,0.01675,1.0,0.9850746268656716,0.32682926829268294,0.40715155793121205
0,4,naive,1,view_impostor,1.0,0.6581160563127058,0.40119760479041916,0.009900990099009901,0.9900990099009901,0.5988023952095809,0.9330339144746457,0.9330339144746457,0.01675,1.0,0.9850746268656716,0.4020100502512563,0.40715155793121205
0,4,repaired,1,view_impostor,1.0,0.6581160563127058,0.40119760479041916,0.009900990099009901,0.9900990099009901,0.5988023952095809,0.9330339144746457,0.9330339144746457,0.01675,1.0,0.9850746268656716,0.4020100502512563,0.40715155793121205
0,8,naive,1,view_impostor,1.0,0.7147788221969213,0.40119760479041916,0.009900990099009901,0.9900990099009901,0.5988023952095809,0.8174046813744178,0.5687919643861686,0.01675,1.0,0.9850746268656716,0.6118721461187214,0.40715155793121205
0,8,repaired,6,view_impostor,1.0,0.7557432601258234,0.4649122807017544,0.12857142857142856,0.8714285714285714,0.5350877192982456,0.8174046813744178,0.5687919643861686,0.020875,0.9760479041916168,0.7904191616766467,0.6495726495726496,0.5340199692918273
0,16,naive,1,view_impostor,1.0,0.6633469276505269,0.40119760479041916,0.009900990099009901,0.9900990099009901,0.5988023952095809,0.7577580137831335,0.3660583298001532,0.01675,1.0,0.9850746268656716,0.42138364779874216,0.40715155793121205
0,16,repaired,10,faithful,0.9208332671000969,0.7378088538766209,0.9484240687679083,0.9754901960784313,0.02450980392156865,-0.02759080166781136,0.7577580137831335,0.3660583298001532,0.04325,0.8034682080924855,0.407514450867052,0.7612732095490716,0.42999080614278906
1,1,naive,0,faithful,0.6928415175656262,0.6456584381929785,0.5166666666666667,0.6127320954907162,0.38726790450928383,0.17617485089895946,0.0,0.0,0.062,0.6471774193548387,0.33669354838709675,1.0,0.23396203785225445
1,1,repaired,0,faithful,0.6928415175656262,0.6456584381929785,0.5166666666666667,0.6127320954907162,0.38726790450928383,0.17617485089895946,0.0,0.0,0.062,0.6471774193548387,0.33669354838709675,1.0,0.23396203785225445
1,2,naive,1,faithful,0.7013850523685032,0.5627073945020779,0.5391705069124424,0.7539267015706806,0.24607329842931935,0.16221454545606084,0.6706827309236948,0.6706827309236948,0.062125,0.6237424547283702,0.33400402414486924,0.6653279785809906,0.23233911126764983
1,2,repaired,1,faithful,0.7013850523685032,0.5627073945020779,0.5391705069124424,0.7539267015706806,0.24607329842931935,0.16221454545606084,0.6706827309236948,0.6706827309236948,0.062125,0.6237424547283702,0.33400402414486924,0.6653279785809906,0.23233911126764983
1,4,naive,1,faithful,0.7013850523685032,0.5206367750678191,0.5391705069124424,0.7539267015706806,0.24607329842931935,0.16221454545606084,0.6675839487086891,0.6675839487086893,0.062125,0.6237424547283702,0.33400402414486924,0.5095108695652174,0.23233911126764983
1,4,repaired,0,faithful,0.6928415175656262,0.5851784381929785,0.5166666666666667,0.6127320954907162,0.38726790450928383,0.17617485089895946,0.6675839487086891,0.6675839487086893,0.062,0.6471774193548387,0.33669354838709675,0.776,0.23396203785225445
1,8,naive,5,view_impostor,1.0,0.6253591765657597,0.3227722772277228,0.0,1.0,0.6772277227722772,0.7067369554888152,0.6197483510803258,0.020375,1.0,1.0,0.26949152542372884,0.42089302136978624
1,8,repaired,7,faithful,0.9849546279491832,0.7544335417248198,0.9569471624266145,0.9623188405797102,0.03768115942028982,0.02800746552256872,0.7067369554888152,0.6197483510803258,0.061875,0.6363636363636364,0.3373737373737374,0.7692307692307693,0.2355963008437371
1,16,naive,5,view_impostor,1.0,0.6342476706382731,0.3227722772277228,0.0,1.0,0.6772277227722772,0.6602822279754432,0.30679273319072237,0.020375,1.0,1.0,0.30241187384044527,0.42089302136978624
1,16,repaired,7,faithful,0.9849546279491832,0.7852658241964465,0.9569471624266145,0.9623188405797102,0.03768115942028982,0.02800746552256872,0.6602822279754432,0.30679273319072237,0.061875,0.6363636363636364,0.3373737373737374,0.8834244080145719,0.2355963008437371
2,1,naive,0,view_impostor,1.0,0.8147942729641865,0.33827160493827163,0.014705882352941176,0.9852941176470589,0.6617283950617283,0.0,0.0,0.017125,1.0,0.9708029197080292,1.0,0.38542851347357526
2,1,repaired,0,view_impostor,1.0,0.8147942729641865,0.33827160493827163,0.014705882352941176,0.9852941176470589,0.6617283950617283,0.0,0.0,0.017125,1.0,0.9708029197080292,1.0,0.38542851347357526
2,2,naive,0,view_impostor,1.0,0.6250328846778525,0.33827160493827163,0.014705882352941176,0.9852941176470589,0.6617283950617283,0.8438177874186551,0.8438177874186551,0.017125,1.0,0.9708029197080292,0.29718004338394793,0.38542851347357526
2,2,repaired,1,faithful,0.7484418127344358,0.6600969933219737,0.5170454545454546,0.6444444444444445,0.3555555555555555,0.2313963581889812,0.8438177874186551,0.8438177874186551,0.0495,0.7070707070707071,0.3383838383838384,0.8590021691973969,0.35872109591449347
2,4,naive,0,view_impostor,1.0,0.6332762006750299,0.33827160493827163,0.014705882352941176,0.9852941176470589,0.6617283950617283,0.6406802505418682,0.6406802505418682,0.017125,1.0,0.9708029197080292,0.327710843373494,0.38542851347357526
2,4,repaired,2,faithful,0.9773103692967358,0.7922160899107314,0.9515738498789347,0.9636363636363636,0.036363636363636376,0.025736519417801085,0.6406802505418682,0.6406802505418682,0.050125,0.7107231920199502,0.33665835411471323,0.8692660550458715,0.3452773813574243
2,8,naive,0,view_impostor,1.0,0.6195215456914592,0.33827160493827163,0.014705882352941176,0.9852941176470589,0.6617283950617283,0.6962119169320004,0.6237972803792126,0.017125,1.0,0.9708029197080292,0.2767676767676768,0.38542851347357526
2,8,repaired,2,faithful,0.9773103692967358,0.7637347274892909,0.9515738498789347,0.9636363636363636,0.036363636363636376,0.025736519417801085,0.6962119169320004,0.6237972803792126,0.050125,0.7107231920199502,0.33665835411471323,0.7637795275590551,0.3452773813574243
2,16,naive,0,view_impostor,1.0,0.6304192729641864,0.33827160493827163,0.014705882352941176,0.9852941176470589,0.6617283950617283,0.617096061778905,0.45955277186577365,0.017125,1.0,0.9708029197080292,0.31712962962962965,0.38542851347357526
2,16,repaired,12,view_impostor,1.0,0.8399181712876188,0.6070588235294118,0.4280821917808219,0.571917808219178,0.39294117647058824,0.617096061778905,0.45955277186577365,0.03475,0.7697841726618705,0.4784172661870504,0.5848214285714286,0.8835931195125345
3,1,naive,0,faithful,0.6614579796264856,0.6001588471325436,0.5273972602739726,0.8673469387755102,0.13265306122448983,0.13406071935251296,0.0,0.0,0.09125,0.4547945205479452,0.27671232876712326,1.0,0.004948006431525117
3,1,repaired,0,faithful,0.6614579796264856,0.6001588471325436,0.5273972602739726,0.8673469387755102,0.13265306122448983,0.13406071935251296,0.0,0.0,0.09125,0.4547945205479452,0.27671232876712326,1.0,0.004948006431525117
