method,n,proxy_score_mean,proxy_score_sem,true_iou_mean,true_iou_sem,hidden_error_mean,hidden_error_sem,exploitation_gap_mean,exploitation_gap_sem,top_proxy_diversity_mean,visible_occupancy_fraction_mean,view_impostor_rate
naive,1,0.7779095046486407,0.0677352839594066,0.5253329231061061,0.08678663358617875,0.439114467939343,0.11436979456629574,0.2525765815425346,0.06686888637770672,0.0,0.4550151906672215,0.2
naive,2,0.9160173057395189,0.04401082894007533,0.4250672570391245,0.025802650882429595,0.7467098316433814,0.10741376875860853,0.49095004870039444,0.06775830828570513,0.7132607544384653,0.7303500868120031,0.7
naive,4,0.9498715077768705,0.03417558391399092,0.4081716868558831,0.023812429659003806,0.8303072706189717,0.0843729148974069,0.5416998209209873,0.05605200477623356,0.6859629785041828,0.7968817524860153,0.8
naive,8,1.0,0.0,0.37591606882575,0.013617931164437689,0.9554583948823199,0.019754284823614264,0.62408393117425,0.013617931164437684,0.5847897872337119,0.9121726670636348,1.0
naive,16,1.0,0.0,0.37591606882575,0.013617931164437689,0.9554583948823199,0.019754284823614264,0.62408393117425,0.013617931164437684,0.36605313040700915,0.9121726670636348,1.0
repaired,1,0.7779095046486407,0.0677352839594066,0.5253329231061061,0.08678663358617875,0.439114467939343,0.11436979456629574,0.2525765815425346,0.06686888637770672,0.0,0.4550151906672215,0.2
repaired,2,0.8680233837868465,0.0415556389077487,0.5870962617910545,0.06510575857625958,0.42394196716331356,0.11782176057403779,0.2809271219957921,0.07403354638487822,0.7132607544384653,0.49890680760270156,0.3
repaired,4,0.9239100880001404,0.03324955655962322,0.6124289829828449,0.07816886354218885,0.4883019897058126,0.1299066236493579,0.3114811050172954,0.08464445367540124,0.6859629785041828,0.5639357373156824,0.4
repaired,8,0.9826210639500117,0.007712692087828003,0.688682099041398,0.08795883416182255,0.4613691586820837,0.14451567971728593,0.2939389649086136,0.09371700226354153,0.5847897872337119,0.5835649138195971,0.5
repaired,16,0.9769733537303477,0.009901889710982253,0.7303258413716103,0.07513593592505116,0.38500395615310523,0.12177504409157966,0.2466475123587375,0.08271274649765965,0.36605313040700915,0.5051229953158243,0.5
