method,n,proxy_score_mean,proxy_score_sem,true_iou_mean,true_iou_sem,hidden_error_mean,hidden_error_sem,exploitation_gap_mean,exploitation_gap_sem,top_proxy_diversity_mean,visible_occupancy_fraction_mean,view_impostor_rate
naive,1,0.7906157969844952,0.020132987360566477,0.5204136909791228,0.02615532699741692,0.44242949747083826,0.038327359507757106,0.2702021060053725,0.026469961855398308,0.0,0.42488774756993364,0.20833333333333334
naive,2,0.9004330769991545,0.016028968060313207,0.5174222645449179,0.02833479522916083,0.5546522258106459,0.045771527493848115,0.38301081245423657,0.03323140966376172,0.651983278342584,0.5690779931005088,0.4722222222222222
naive,4,0.9668044305664618,0.007315398386427553,0.48781918882314795,0.027847686333536695,0.6709157925346118,0.04566108498283819,0.478985241743314,0.032053406507618995,0.6330100240519406,0.6837343090254677,0.6805555555555556
naive,8,0.9948372968727054,0.001963893761735212,0.40040969854423436,0.023064587404498675,0.8413579726240168,0.03321444519152549,0.594427598328471,0.02481623296144741,0.5170550452629773,0.8133016476044841,0.9027777777777778
naive,16,0.9993529390101662,0.0006470609898336829,0.3498033843788776,0.01211960750653776,0.9154818902587125,0.01658570649502269,0.6495495546312887,0.012581533527080803,0.3162876075422717,0.8570678956032738,0.9861111111111112
naive,32,1.0,0.0,0.34007540202134917,0.00873341259181762,0.928606912269194,0.01102768584843036,0.6599245979786508,0.00873341259181762,0.23614493943635825,0.866721304212632,1.0
naive,64,1.0,0.0,0.34007540202134917,0.00873341259181762,0.928606912269194,0.01102768584843036,0.6599245979786508,0.00873341259181762,0.23399691658169786,0.866721304212632,1.0
repaired,1,0.7906157969844952,0.020132987360566477,0.5204136909791228,0.02615532699741692,0.44242949747083826,0.038327359507757106,0.2702021060053725,0.026469961855398308,0.0,0.42488774756993364,0.20833333333333334
repaired,2,0.8384754880039741,0.01618529517381486,0.6285960451179127,0.025781185696869477,0.3217806170471707,0.033919772723986136,0.20987944288606136,0.022702780412614584,0.651983278342584,0.37238696973802693,0.1527777777777778
repaired,4,0.921615251371072,0.009413278720988296,0.7087876230551396,0.026979383559071483,0.29860912384556015,0.03925099415636268,0.2128276283159325,0.028264319585569006,0.6330100240519406,0.4147510440508737,0.2361111111111111
repaired,8,0.9526290984204352,0.004663708726408419,0.8143605471149983,0.02453635730021528,0.19991444562435579,0.034276991181692515,0.13826855130543694,0.02579246784071879,0.5170550452629773,0.3712272663750548,0.18055555555555555
repaired,16,0.9622440865023615,0.002927285191467238,0.8884772738919154,0.016738996527897686,0.12058794793561287,0.024285836426330983,0.07376681261044613,0.01795385496994498,0.3162876075422717,0.33448493223083253,0.1111111111111111
repaired,32,0.9733975524414689,0.0019349663333973575,0.8695703276697216,0.01941114685538013,0.15677343099247526,0.028600364272828763,0.10382722477174709,0.02092629926680081,0.23614493943635825,0.3473542607894509,0.18055555555555555
repaired,64,0.9778531643039519,0.0017800871290329287,0.8513247288757348,0.02136183049154649,0.18257494462644133,0.031063583243879436,0.12652843542821693,0.02280326616604692,0.23399691658169786,0.35744981263522435,0.2222222222222222
