method,n,proxy_score_mean,proxy_score_sem,true_iou_mean,true_iou_sem,hidden_error_mean,hidden_error_sem,exploitation_gap_mean,exploitation_gap_sem,surface_fraction_mean,visible_occupancy_fraction_mean,view_impostor_rate,scenes
consensus_only,256,0.9540824071564109,0.0,0.9568345323741008,0.0,0.024844720496894457,0.0,-0.0027521252176898603,0.0,0.8713235294117647,0.4227941176470588,0.0,1
naive,256,1.0,0.0,0.6408450704225352,0.0,0.5930232558139534,0.0,0.35915492957746475,0.0,0.9381443298969072,0.5773195876288659,1.0,1
no_consensus,256,1.0,0.0,0.6408450704225352,0.0,0.5930232558139534,0.0,0.35915492957746475,0.0,0.9381443298969072,0.5773195876288659,1.0,1
no_surface_penalty,256,0.978235869831172,0.0,0.9381818181818182,0.0,0.0496894409937888,0.0,0.04005405164935372,0.0,0.9003831417624522,0.4329501915708812,0.0,1
no_volume,256,0.9843656286043829,0.0,0.9501779359430605,0.0,0.07185628742514971,0.0,0.03418769266132238,0.0,0.8768115942028986,0.41304347826086957,0.0,1
random,256,0.5843718993621545,0.0,0.31016042780748665,0.0,0.6557377049180328,0.0,0.27421147155466785,0.0,0.944954128440367,0.5,0.0,1
repaired,256,0.978235869831172,0.0,0.9381818181818182,0.0,0.0496894409937888,0.0,0.04005405164935372,0.0,0.9003831417624522,0.4329501915708812,0.0,1
volume_surface_only,256,0.6564888667331339,0.0,0.15639810426540285,0.0,0.8406593406593407,0.0,0.5000907624677311,0.0,0.9490740740740741,0.48148148148148145,0.0,1
