regime,axis_label,sampler_label,method,n,impostor_prior,hidden_fill_scale,proxy_score_mean,proxy_score_sem,true_iou_mean,true_iou_sem,hidden_error_mean,hidden_error_sem,exploitation_gap_mean,exploitation_gap_sem,surface_fraction_mean,visible_occupancy_fraction_mean,view_impostor_rate,scenes
axis_sweep,x,base,naive,256,,,1.0,0.0,0.3370473537604457,0.0,0.7933333333333333,0.0,0.6629526462395543,0.0,0.8701923076923077,0.28365384615384615,1.0,1
axis_sweep,x,base,repaired,256,,,0.9842156862745097,0.0,0.9501779359430605,0.0,0.05882352941176472,0.0,0.03403775033144918,0.0,0.8768115942028986,0.21739130434782608,0.0,1
axis_sweep,xy,base,naive,256,,,1.0,0.0,0.6408450704225352,0.0,0.5930232558139534,0.0,0.35915492957746475,0.0,0.9381443298969072,0.5773195876288659,1.0,1
axis_sweep,xy,base,repaired,256,,,0.978235869831172,0.0,0.9381818181818182,0.0,0.0496894409937888,0.0,0.04005405164935372,0.0,0.9003831417624522,0.4329501915708812,0.0,1
axis_sweep,xyz,base,naive,256,,,1.0,0.0,0.7095588235294118,0.0,0.632,0.0,0.2904411764705882,0.0,0.9792746113989638,0.7616580310880829,1.0,1
axis_sweep,xyz,base,repaired,256,,,1.0,0.0,0.7418181818181818,0.0,0.5546875,0.0,0.2581818181818182,0.0,0.9227053140096618,0.7101449275362319,1.0,1
candidate_count,xy,base,naive,1,,,0.6719788598311206,0.1362085630810737,0.3538895308102593,0.11535182913043467,0.6178291945740217,0.2130881259462318,0.3180893290208613,0.11986353477766662,0.7581318738645849,0.5141077547711179,0.25,4
candidate_count,xy,base,naive,16,,,1.0,0.0,0.355170761349493,0.016991202850182286,0.9860051446321103,0.006551752345965211,0.644829238650507,0.016991202850182262,1.0,0.9744766330202368,1.0,4
candidate_count,xy,base,naive,64,,,1.0,0.0,0.355170761349493,0.016991202850182286,0.9860051446321103,0.006551752345965211,0.644829238650507,0.016991202850182262,1.0,0.9744766330202368,1.0,4
candidate_count,xy,base,naive,256,,,1.0,0.0,0.355170761349493,0.016991202850182286,0.9860051446321103,0.006551752345965211,0.644829238650507,0.016991202850182262,1.0,0.9744766330202368,1.0,4
candidate_count,xy,base,random,1,,,0.6719788598311206,0.1362085630810737,0.3538895308102593,0.11535182913043467,0.6178291945740217,0.2130881259462318,0.3180893290208613,0.11986353477766662,0.7581318738645849,0.5141077547711179,0.25,4
candidate_count,xy,base,random,16,,,0.8368390523703706,0.07414297822816181,0.6244313897851154,0.11336764820916422,0.3541467124458696,0.1778044422983276,0.21240766258525515,0.12917795347827113,0.7312380290852749,0.4329360356859507,0.25,4
candidate_count,xy,base,random,64,,,1.0,0.0,0.40482108525527505,0.04133121992225095,0.9041160672873045,0.051243916433142925,0.595178914744725,0.041331219922250945,0.9662341982701264,0.8484769778233,1.0,4
